"date","total_engine_count","total_ngav_count","total_arw_count","total_web_security_count","uniq_engine_count","uniq_ngav_count","uniq_arw_count","uniq_web_security_count","total_base_scanner_count","total_memory_scanner_count","total_mail_protection_count","total_boot_scanner_count","total_virus_scanner_count","uniq_memory_scanner_count","uniq_base_scanner_count","uniq_mail_protection_count","uniq_boot_scanner_count","uniq_virus_scanner_count"
"2023-05-20",1083428,39262933,2453,6173057,514454,419177,987,246,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2023-05-21",1173610,38282863,2216,6791874,527164,438973,944,791,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2023-05-22",1072543,36513709,3162,6364705,529800,414942,536,529,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2023-05-23",1126055,38904134,3542,6113541,536998,363737,578,718,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2023-05-24",1200681,36832411,2636,7015577,534927,432115,745,627,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2023-05-25",1162545,35618433,3957,6990095,517483,389282,545,645,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2023-05-26",1163549,40120498,2442,6194664,521344,365305,641,411,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2023-05-27",1124989,36886321,3824,6099566,527912,398767,743,347,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2023-05-28",1190326,35620333,2592,6652275,530197,411930,825,775,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2023-05-29",1196741,37316315,3561,6379671,524344,367316,1000,728,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2023-05-30",1202747,39285786,3383,7323516,531506,393045,783,212,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
